name,slug,alias_names,animagus,blood_status,boggart,born,died,eye_color,family_members,gender,hair_color,height,house,image,jobs,marital_status,nationality,patronus,romances,skin_color,species,titles,wands,weight,wiki
Ackley Barnes,ackley-barnes,{},,,,,,Brown,{},Male,Black,,,https://static.wikia.nocookie.net/harrypotter/images/b/bb/HL_-_Ackley_Barnes.png,"{""Thief"", ""Businessman""}",,British or Irish,,{},Light,Human,{},{},,https://harrypotter.fandom.com/wiki/Ackley_Barnes
Acolyte thug,acolyte-thug,{},,,,Before 1927,,,{},Male,,,,,{},,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Acolyte_thug
Actor who played Crapaud,actor-who-played-crapaud,{},,,,,,,{},Male,Brown,,,https://static.wikia.nocookie.net/harrypotter/images/b/be/Crapaud.png,"{""Actor""}",,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Actor_who_played_Crapaud
Actor who played Grenouille,actor-who-played-grenouille,{},,,,,,,{},Male,Red,,,https://static.wikia.nocookie.net/harrypotter/images/2/24/Grenouille.png,"{""Actor""}",,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Actor_who_played_Grenouille
Ada,ada,{},,,,,,,"{""Tarek (husband)"", ""Unborn child""}",Female,,,,,{},Married,Scottish,,"{""Tarek (husband)""}",,Human,{},{},,https://harrypotter.fandom.com/wiki/Ada
Adalbert Waffling,adalbert-waffling,{},,,,,1981,,{},Male,,,,https://static.wikia.nocookie.net/harrypotter/images/5/5b/Adalbert_Waffling_HM.png,"{""Author"", ""Magical Theoretician""}",,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Adalbert_Waffling
Adam Arterius,adam-arterius,{},,,,Between 1 September 1990 and 31 August 1997,,Brown,{},Male,Brown,,,https://static.wikia.nocookie.net/harrypotter/images/6/62/Adam_Arterius_MA.jpg,{},,British or Irish,,{},Light,Human,{},{},,https://harrypotter.fandom.com/wiki/Adam_Arterius
Adam Pickering,adam-pickering,{},,,,31 August 1982 or earlier,,,{},Male,,,Gryffindor,,{},,British or Irish,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Adam_Pickering
Addison Fawley,addison-fawley,{},,"Pure-blood, Half-blood or Squib (possibly)",,Between 2006 and 2015,,,"{""Grim Fawley (father)"", ""Penelope Fawley (mother)"", ""Melody Fawley (twin sister)"", ""Lucretia Fawley (paternal grandmother) †"", ""Marshall Fawley (paternal grandfather) †"", ""Maternal grandfather"", ""Maternal grandmother"", ""Fawley family""}",,,,,,{},,British,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Addison_Fawley
Adelaide Murton,adelaide-murton,{},,,,31 August 1982 or earlier,,,{},Female,,,Slytherin,,{},,British or Irish,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Adelaide_Murton
Adelaide Oakes,adelaide-oakes,{},,,,Between 1 September 1874 and 31 August 1875,,,"{""Father †"", ""Mother †"", ""Rowland Oakes (uncle)"", ""Oakes family""}",Female,Light brown,,Hufflepuff,https://static.wikia.nocookie.net/harrypotter/images/b/ba/Adelaide_Oakes_-_HL.png,{},,British or Irish,,{},Light,Human,{},{},,https://harrypotter.fandom.com/wiki/Adelaide_Oakes
Adelaide Oakes's mother,adelaide-oakes-s-father,{},,,,,Between 1 September 1879 and 30 August 1881,,"{""Partner †"", ""Adelaide Oakes (daughter)"", ""Rowland Oakes (brother)"", ""Oakes family""}",Male,,,,,{},,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Adelaide_Oakes's_father
Adelaide Oakes's mother,adelaide-oakes-s-mother,{},,,,,Between 1 September 1874 and 31 August 1875,,"{""Partner †"", ""Adelaide Oakes (daughter)"", ""Rowland Oakes (brother-in-law)"", ""Oakes family""}",Female,,,,,{},,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Adelaide_Oakes's_mother
Adou Sosseh,adou-sosseh,{},,,,,,,{},,,,,,"{""Captain for the Senegalese National Quidditch team""}",,Senegalese,,{},,Human,"{""Captain""}",{},,https://harrypotter.fandom.com/wiki/Adou_Sosseh
Adrian,adrian,{},,,,"Between 1 September, 1959 and 31 August, 1960",,,{},Male,,,,https://static.wikia.nocookie.net/harrypotter/images/5/56/Adrian_1.jpg,"{""Photographer at the Daily Prophet""}",,British or Irish,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Adrian
Adrian Pucey,adrian-pucey,{},,,,Between 1 September 1977 and 31 August 1979 (likely),,,{},Male,,,Slytherin,https://static.wikia.nocookie.net/harrypotter/images/1/13/Adrianpucey-HS.jpg,{},,British or Irish,,{},,Human,"{""Chaser""}",{},,https://harrypotter.fandom.com/wiki/Adrian_Pucey
Adrian Speke,adrian-speke,{},,,,on or prior to 31 August 1982,,,{},Male,,,Hufflepuff,,{},,British or Irish,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Adrian_Speke
Adrian Tutley,adrian-tutley,{},Gerbil,,,,,,{},Male,,,,,{},,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Adrian_Tutley
Aesop Sharp,aesop-sharp,{},,,,In or before 1858,,Brown,"{""Kitty Sharp (possibly)"", ""Scarlet Sharp (possibly)"", ""Sharp family""}",Male,Brown,,Slytherin,https://static.wikia.nocookie.net/harrypotter/images/2/28/Aesop_Sharp.png,"{""Auror (formerly)"", ""Potions Master at Hogwarts School of Witchcraft and Wizardry""}",,British or Irish,,{},Light,Human,"{""Professor""}","{""Unknown length, wood, and core""}",,https://harrypotter.fandom.com/wiki/Aesop_Sharp
Aesop Sharp's partner,aesop-sharp-s-partner,{},,,,,Before 1890,,{},,,,,,"{""Auror""}",,British,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Aesop_Sharp's_partner
Affpuddle,affpuddle-of-the-cheerful-countenance,{},,,,,Before 1890,,{},Male,,,,https://static.wikia.nocookie.net/harrypotter/images/4/42/Affpuddle_HL.png,{},,British,,{},,Human,"{""Sir""}",{},,https://harrypotter.fandom.com/wiki/Affpuddle_of_the_Cheerful_Countenance
African prince,african-prince,{},,,,,,,{},Male,,,,,{},,,,{},,Human,"{""Prince""}",{},,https://harrypotter.fandom.com/wiki/African_prince
Agabus Philbert,agabus-philbert,{},,,,,,Brown,"{""Dulcibella Philbert (wife) †""}",Male,Brown,,,https://static.wikia.nocookie.net/harrypotter/images/5/5f/Agabus_Philbert_HL.png,{},Widowed,Scottish,,"{""Dulcibella Philbert""}",Light,Human,{},{},,https://harrypotter.fandom.com/wiki/Agabus_Philbert
Agatha Chubb,agatha-chubb,{},,,,,,,{},Female,,,,,"{""Ancient Wizarding Artefacts Researcher""}",,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Agatha_Chubb
Agatha Thrussington,agatha-thrussington,{},,,,31 August 1982 or earlier,,,{},Female,,,Hufflepuff,,{},,British or Irish,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Agatha_Thrussington
Agatha Timms,agatha-timms,{},,,,,,,{},Female,,,,,"{""Eel farmer""}",,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Agatha_Timms
Aged witch,aged-witch,{},,,,,,,{},Female,,,,https://static.wikia.nocookie.net/harrypotter/images/2/2d/Aged_witch.gif,{},,British,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Aged_witch
Agilbert Fontaine,agilbert-fontaine,{},,,,,,,"{""Theodard Fontaine (ancestor)"", ""Fontaine family""}",Male,,,,,"{""Headmaster of Ilvermorny School of Witchcraft and Wizardry(c. 2016)""}",,American,,{},,Human,"{""Headmaster"", ""Professor""}",{},,https://harrypotter.fandom.com/wiki/Agilbert_Fontaine
Agnes's son,agnes-s-son,{},,,,,,,"{""Agnes (mother)""}",Male,,,,,{},,British,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Agnes's_son
Agnes,agnes-st-mungo-s,{},"Dog (probably, failed)",,,,,,"{""Son""}",Female,,,,https://static.wikia.nocookie.net/harrypotter/images/c/cb/Agnes.png,{},,British,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Agnes_(St_Mungo's)
Agnes Coffey,agnes-coffey,{},,,,,,Brown,{},Female,Light brown,,,https://static.wikia.nocookie.net/harrypotter/images/4/45/Agnes_Coffey_HL.png,"{""Fashion model"", ""Garment seller""}",,British or Irish,,{},Light,Human,{},{},,https://harrypotter.fandom.com/wiki/Agnes_Coffey
Agnes Monkleigh,agnes-monkleigh,{},,,,31 August 1982 or earlier,,,{},Female,Red,,Slytherin,https://static.wikia.nocookie.net/harrypotter/images/0/09/Agnes_Monkleigh.jpg,{},,British or Irish,,{},White,Human,{},{},,https://harrypotter.fandom.com/wiki/Agnes_Monkleigh
Agnes Nutt,agnes-nutt,{},,,,,,,{},Female,,,,,{},,British or Irish,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Agnes_Nutt
Agnes Scribner,agnes-scribner,{},,,,Before 1890,,,{},Female,Grey,,,https://static.wikia.nocookie.net/harrypotter/images/0/03/Agnes_Scribner_HL.png,"{""Hogwarts librarian""}",,British or Irish,,{},Light,Human,"{""Head Librarian""}",{},,https://harrypotter.fandom.com/wiki/Agnes_Scribner
Aidan Kiely,aidan-kiely,{},,,,1981 or earlier,,,{},Male,,,,,"{""Seeker of the Kenmare Kestrels""}",,Irish,,{},,,"{""Seeker""}",{},,https://harrypotter.fandom.com/wiki/Aidan_Kiely
Aidan Lynch,aidan-lynch,{},,,,,,,{},Male,,,,https://static.wikia.nocookie.net/harrypotter/images/e/e5/Irish_National_Quidditch_team.jpg,"{""Seeker for the Irish National Quidditch team""}",,Irish,,{},,Human,"{""Seeker""}",{},,https://harrypotter.fandom.com/wiki/Aidan_Lynch
Aidan Sprottle,aidan-sprottle,{},,,,,Before 1890,,"{""Dorothy Sprottle (wife)""}",Male,,,,,{},Married,,,"{""Dorothy Sprottle (wife)""}",,Human,{},{},,https://harrypotter.fandom.com/wiki/Aidan_Sprottle
Aiden O'Connor,aiden-o-connor,{},,,,31 August 1982 or earlier,,,{},Male,,,Gryffindor,,{},,British or Irish,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Aiden_O'Connor
Ailsa Travers,ailsa-travers,{},,,,,,Brown,"{""Thaddeus Travers (possible relative)"", ""Torquil Travers (possible relative) †"", ""Travers (possible relative)"", ""Sloan Travers (possible relative)"", ""Travers family""}",Female,Brown,,,https://static.wikia.nocookie.net/harrypotter/images/4/42/Ailsa_Travers_HL.png,"{""Ashwinder""}",,British,,{},White,Human,{},"{""Unknown length, wood and core""}",,https://harrypotter.fandom.com/wiki/Ailsa_Travers
Aisha,aisha,{},,,,,,,"{""Mother""}",Female,,,,,{},,,,"{""Mathilda Grimblehawk""}",,Human,{},{},,https://harrypotter.fandom.com/wiki/Aisha
Aisha's mother,aisha-s-mother,{},,,,,,,"{""Aisha (daughter)""}",Female,,,,,{},,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Aisha's_mother
Aki Sugiyama,aki-sugiyama,{},,,,31 August 1982 or earlier,,,{},Female,,,Hufflepuff,,{},,British or Irish,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Aki_Sugiyama
Alain Lacroix,alain-lacroix,{},,,,,,Green,{},Male,Brown,,,https://static.wikia.nocookie.net/harrypotter/images/4/49/Alain_Lacroix.png,"{""Beater for the French National Quidditch team""}",,French,,{},White,Human,"{""Beater""}",{},,https://harrypotter.fandom.com/wiki/Alain_Lacroix
Alannis,alannis,{},,,,31 August 1985 or earlier,,Brown,{},Female,Blonde,,Ravenclaw,https://static.wikia.nocookie.net/harrypotter/images/d/d5/Alannis.jpg,{},,British or Irish,,{},Light,Human,"{""Duelling Club Captain"", ""Ravenclaw House Champion""}","{""Unknown length, wood and core""}",,https://harrypotter.fandom.com/wiki/Alannis
Alannis Shepley,alannis-shepley,{},,,,31 August 1982 or earlier,,,{},Female,,,Ravenclaw,,{},,British or Irish,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Alannis_Shepley
Alanza Alves,alanza-alves,{},,Pure-blood or half-blood,,,,Light brown,"{""Grandmother"", ""Alves family""}",Female,Brown,,,https://static.wikia.nocookie.net/harrypotter/images/8/8a/Alanza_Alves_HM8.png,{},,Brazilian,,{},Caramel,Human,{},{},,https://harrypotter.fandom.com/wiki/Alanza_Alves
Alanza Alves's grandmother,alanza-alves-s-grandmother,{},,,,Before 1973,,,"{""Alanza Alves (granddaughter)"", ""Alves family""}",Female,,,,,{},,Brazilian,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Alanza_Alves's_grandmother
Alasdair Maddock,alasdair-maddock,{},,,,before 1981,,,{},Male,,,,,"{""Chaser for the Montrose Magpies (formerly)""}",,,,{},,Human,"{""Chaser (formerly)""}",{},,https://harrypotter.fandom.com/wiki/Alasdair_Maddock
Alastair,alastair,{},,,,Pre 1991,,Black,{},Male,Brown or black,,,,{},,,,{},,Spider,{},{},,https://harrypotter.fandom.com/wiki/Alastair
Alastor Gumboil,alastor-gumboil,{},,,,Before 1982,,,{},Male,,,,,"{""Hit Wizard""}",,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Alastor_Gumboil
Alastor Moody,alastor-moody,"{""Mad-Eye""}",,Pure-blood,Lord Voldemort,Before 1959,"27 July 1997 (aged at least 38), South England, Great Britain","One dark, one electric blue","{""Father †"", ""Mother †""}",Male,Grey,6'2',Unknown,https://static.wikia.nocookie.net/harrypotter/images/4/4d/MoodyProfile.png,"{""Auror (Retired)""}",Single,British or Irish,Non-corporeal,{},,Human,{},"{""Unknown length, wood and core""}",183 lbs,https://harrypotter.fandom.com/wiki/Alastor_Moody
Mr Moody,alastor-moody-s-father,{},,Pure-blood,,,Before 1997,,"{""Mrs Moody (wife) †"", ""Alastor Moody (son) †"", ""Long line of renowned Aurors""}",Male,,,,,"{""Auror""}",,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Alastor_Moody's_father
Mrs Moody,alastor-moody-s-mother,{},,Pure-blood,,,Before 1997,,"{""Mr Moody (husband) †"", ""Alastor Moody (son) †""}",Female,,,,,"{""Auror""}",,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Alastor_Moody's_mother
Albanian peasant,albanian-peasant,{},,Muggle,,,After 1946,,{},,,,,,{},,Albanian,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Albanian_peasant
Alberic Grunnion,alberic-grunnion,{},,,,1803,1882 (aged 78–79),,{},Male,White,,,https://static.wikia.nocookie.net/harrypotter/images/6/64/Alberic_Grunnion_HM.png,"{""Inventor""}",,British,,{},White,Human,{},{},,https://harrypotter.fandom.com/wiki/Alberic_Grunnion
Albert,albert,{},,,,"on or prior to 31 August 1981,",,,"{""Marilyn (possibly)"", ""Arthur (possibly)""}",Male,Blond,,Hufflepuff,,{},,British or Irish,,{},Light,Human,{},{},,https://harrypotter.fandom.com/wiki/Albert
Albert,albert-no-maj,{},,No-Maj,,Before 1932,,,{},Male,,,,https://static.wikia.nocookie.net/harrypotter/images/1/1c/Albert_%28No-Maj%29_SOD.jpeg,"{""Employee at Kowalski Quality Baked Goods""}",,American,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Albert_(No-Maj)
Albert Bellchant,albert-bellchant,{},,Pure-blood or half-blood,,,,,"{""Astor Bellchant (father)"", ""Bellchant family""}",Male,,,,,{},,British or Irish,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Albert_Bellchant
Albert Boot,albert-boot,{},,Pure-blood or half-blood,,Before 1730,,,"{""Boot family""}",Male,,,,,"{""British Minister for Magic (1747–1752)""}",,,,{},,Human,"{""Minister for Magic""}",{},,https://harrypotter.fandom.com/wiki/Albert_Boot
Albert Einstein,albert-einstein,{},,Muggle,,14 March 1879,18 April 1955,,{},Male,,,,,"{""Theoretical physicist""}",,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Albert_Einstein
Albert Jorkins,albert-jorkins,{},,,,before 1981,,,"{""Primrose Jorkins (wife)"", ""Grimwold Jorkins (son)"", ""Granville Jorkins (son)"", ""Griselda Jorkins (daughter)"", ""Bertha Jorkins (possible)"", ""Stamford Jorkins (possible)""}",Male,,,,,{},Married,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Albert_Jorkins
Albert L. McCausland,albert-mccausland,{},,No-Maj,,,,,{},Male,,,,,"{""President of Steen National Bank""}",,American,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Albert_McCausland
Albert Perschky,albert-perschky,{},,,,,,,{},Male,Bald,,,https://static.wikia.nocookie.net/harrypotter/images/d/dc/Albert_V_Perschky.png,"{""Apparition Examiner""}",,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Albert_Perschky
Albert Runcorn,albert-runcorn,{},,Pure-blood or half-blood,,Pre 1980,,,"{""Runcorn (possibly)""}",Male,Black,Over 6',,https://static.wikia.nocookie.net/harrypotter/images/6/6f/RuncornProfile.png,"{""British Ministry of Magic official""}",,,Non-corporeal,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Albert_Runcorn
Albert Sallow,albert-sallow,{},,,,,,,"{""Solomon Sallow (possible relative) †"", ""Sallow siblings' parents (possible relatives) †"", ""Anne Sallow (possible relative)"", ""Sebastian Sallow (possible relative)"", ""Sallow family""}",Male,,,,,"{""Unspeakable""}",,British,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Albert_Sallow
Albert Gibbering Stump,albert-stump,{},,,,1662,After 1700,,"{""Google Stump (possibly)"", ""Grogan Stump (possible descendant)"", ""Tobias Stump (possible descendant)"", ""Stump family""}",Male,,,,https://static.wikia.nocookie.net/harrypotter/images/f/fa/AlbertGibberingStump2.jpg,{},,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Albert_Stump
Albert Tillyman,albert-tillyman,{},,,,,1875,,"{""Violet Tillyman (wife)"", ""Mother-in-law""}",Male,,,,,{},Married,,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Albert_Tillyman
Alberta Toothill,alberta-toothill,{},,,,"1391, England",1483 (aged 91–92),Blue,{},Female,Grey (formerly ginger),,,https://static.wikia.nocookie.net/harrypotter/images/6/63/Alberta_Toothill.jpg,"{""Professional Duellist""}",,English,,{},White,Human,"{""Duelling Champion""}",{},,https://harrypotter.fandom.com/wiki/Alberta_Toothill
Alberto Macellarius,alberto-macellarius,"{""The Rat""}",,,,,,,{},Male,Bald,,,https://static.wikia.nocookie.net/harrypotter/images/1/1f/AlbertoMacellarius.jpg,"{""Con artist""}",,American,,{},,Human,{},{},,https://harrypotter.fandom.com/wiki/Alberto_Macellarius
Albie Weekes,albie-weekes,{},,,,Before 1890,,Brown,{},Male,Brown,,,https://static.wikia.nocookie.net/harrypotter/images/9/95/Albie_Weekes.png,"{""Broom vendor at Spintwitches Sporting Needs""}",,British,,{},Light,Human,{},{},,https://harrypotter.fandom.com/wiki/Albie_Weekes
Albino peacock,albino-peacock,{},,,,Pre 1997,,Black,{},Male,,,,https://static.wikia.nocookie.net/harrypotter/images/e/eb/Severus_Snape_and_Corban_Yaxley_entering_Malfoy_Manor.jpg,{},,,,{},,Peacock,{},{},,https://harrypotter.fandom.com/wiki/Albino_peacock
